;x;y;Information
BCN24;;;
1;-2534.242;-2595.568;
2;-2534.242;-2592.424;
3;-2540.441;-2592.424;
4;-2550.363;-2592.424;
5;-2555.578;-2592.424;
6;-2556.792;-2592.935;
7;-2559.874;-2595.964;
8;-2571.012;-2608.78;
9;-2576.423;-2631.35;
10;-2574.66;-2633.062;
Shape;;;Saler
Decoration;;;Manganese
Origin;;;Barcelona
BCN22;;;
1;-1399.266;-2595.323;
2;-1399.266;-2588.978;
3;-1402.793;-2588.733;
4;-1414.345;-2586.758;
5;-1414.962;-2586.742;
6;-1415.919;-2587.048;
7;-1420.065;-2588.992;
8;-1442.49;-2608.802;
9;-1444.284;-2621.643;
10;-1443.158;-2622.303;
Shape;;;Saler
Decoration;;;White
Origin;;;Barcelona
MAN003;;;
1;-1824.733;-2369.447;
2;-1824.733;-2358.731;
3;-1833.857;-2358.731;
4;-1849.261;-2358.731;
5;-1859.984;-2358.731;
6;-1861.479;-2359.516;
7;-1866.952;-2363.19;
8;-1889.203;-2396.699;
9;-1889.468;-2412.199;
10;-1887.173;-2414.287;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN001;;;
1;-1669.458;-2369.57;
2;-1669.458;-2359.865;
3;-1677.811;-2359.809;
4;-1691.217;-2359.809;
5;-1700.635;-2359.865;
6;-1704.912;-2361.397;
7;-1707.702;-2363.583;
8;-1733.787;-2395.948;
9;-1733.56;-2414.52;
10;-1732.433;-2415.204;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN009;;;
1;-1499.297;-2360.927;
2;-1499.297;-2355.439;
3;-1508.831;-2355.533;
4;-1521.771;-2355.439;
5;-1532.96;-2355.439;
6;-1534.448;-2356.054;
7;-1537.372;-2358.708;
8;-1563.563;-2398.108;
9;-1564.073;-2412.144;
10;-1562.862;-2412.977;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN004;;;
1;-1303.736;-2354.991;
2;-1303.736;-2346.084;
3;-1313.039;-2346.074;
4;-1327.503;-2346.084;
5;-1337.28;-2346.138;
6;-1338.476;-2346.923;
7;-1343.464;-2350.772;
8;-1368.334;-2387.027;
9;-1368.245;-2406.704;
10;-1367.131;-2407.532;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN002;;;
1;-1847.068;-2242.897;
2;-1847.068;-2237.841;
3;-1856.434;-2237.841;
4;-1871.251;-2237.841;
5;-1882.197;-2237.841;
6;-1883.412;-2238.1;
7;-1888.608;-2240.692;
8;-1911.744;-2271.589;
9;-1914.158;-2291.469;
10;-1912.482;-2292.461;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN007;;;
1;-1697.721;-2245.527;
2;-1697.721;-2236.265;
3;-1705.681;-2236.265;
4;-1719.086;-2236.265;
5;-1730.282;-2236.265;
6;-1731.537;-2236.729;
7;-1736.949;-2239.118;
8;-1759.304;-2259.307;
9;-1765.839;-2289.084;
10;-1764.446;-2290.82;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN005;;;
1;-1525.862;-2248.987;
2;-1525.862;-2244.695;
3;-1534.936;-2244.695;
4;-1551.164;-2244.695;
5;-1562.574;-2244.695;
6;-1563.44;-2244.997;
7;-1565.138;-2246.4;
8;-1593.154;-2279.003;
9;-1590.623;-2298.639;
10;-1588.681;-2299.793;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
BCN17;;;
1;-1302.895;-2247.043;
2;-1302.895;-2234.027;
